Partner Name,Category,Primary Contact,Email,Phone,Website,Relationship Stage,Contract Status,DD Status,Insurance Verified,License/Registration Verified,SOC 2 / Security Review,Integration Status,Monthly Cost,Notes,Next Action,Due Date
Chainlink,Oracle / Reserve Validation,,,,,Initial Outreach,Not Started,Not Started,N/A,N/A,N/A,Not Started,TBD,Enterprise engagement needed - PoR for physical gemstones,Schedule intro call,
Brickken,Tokenization / Issuance,,,,,Initial Outreach,Not Started,Not Started,N/A,N/A,N/A,Not Started,TBD,Sandbox available at dapp.sandbox.brickken.com,Request sandbox access,
GIA,Gemological Certification,,,,,Initial Outreach,Not Started,Not Started,N/A,Industry Standard,N/A,N/A,Per-report pricing,Lab grading only (NOT appraisal),Identify submission process,
Brinks,Vault / Custody,,,,us.brinks.com,Initial Outreach,Not Started,Not Started,Not Started,Regulated,Not Started,Not Started,TBD,Segregated storage + insurance + API reporting,Request proposal,
Malca-Amit,Vault / Logistics,,,,malca-amit.com,Initial Outreach,Not Started,Not Started,Not Started,Regulated,Not Started,Not Started,TBD,FTZ facilities (duty-free) + global logistics,Request proposal,
TBD - Broker-Dealer,Distribution (FINRA BD),,,,,Not Started,Not Started,Not Started,Not Started,FINRA Required,Not Started,Not Started,TBD,Must be FINRA-registered for Reg D 506(c) distribution,Identify candidates,
TBD - Transfer Agent,Shareholder Records,,,,,Not Started,Not Started,Not Started,Not Started,SEC Required,Not Started,Not Started,TBD,Brickken may handle this OR Securitize/Vertalo,Determine if Brickken covers TA,
Sumsub,KYC / AML / KYB,,,,sumsub.com,Prospective,Not Started,Not Started,N/A,N/A,Needed,Not Started,Per-verification pricing,KYC for investors + KYB for asset holders + sanctions,Request demo,
VerifyInvestor.com,Accredited Investor Verification,,,,verifyinvestor.com,Prospective,Not Started,Not Started,N/A,N/A,Needed,Not Started,Per-verification pricing,506(c) accreditation verification API,Request demo,
Chainalysis,Sanctions / Blockchain Analytics,,,,chainalysis.com,Prospective,Not Started,Not Started,N/A,N/A,N/A,Not Started,TBD,OFAC + wallet screening + ongoing monitoring,Request proposal,
TBD - Securities Attorney,Legal Counsel,,,,,Not Started,Not Started,N/A,N/A,Bar Licensed,N/A,N/A,$15K-50K per PPM,Need tokenized securities expertise specifically,Identify firms,
TBD - Insurance Broker,Insurance (D&O/E&O/Cyber),,,,,Not Started,Not Started,Not Started,N/A,Licensed,N/A,N/A,TBD,Need digital assets specialty broker,Identify firms,
TBD - CPA Firm,Accounting / Tax,,,,,Not Started,Not Started,Not Started,N/A,Licensed,N/A,N/A,TBD,K-1 generation + SPV accounting + crypto,Identify firms,
TBD - Appraiser 1,Independent Appraisal,,,,,Not Started,Not Started,Not Started,Not Started,CGA/MGA Required,N/A,N/A,Per-appraisal,$100-5K+,Must be independent - no affiliation with seller or PleoChrome,Build appraiser panel,
TBD - Appraiser 2,Independent Appraisal,,,,,Not Started,Not Started,Not Started,Not Started,CGA/MGA Required,N/A,N/A,Per-appraisal,$100-5K+,Must be independent,Build appraiser panel,
TBD - Appraiser 3,Independent Appraisal,,,,,Not Started,Not Started,Not Started,Not Started,CGA/MGA Required,N/A,N/A,Per-appraisal,$100-5K+,Must be independent,Build appraiser panel,
